net.jforum.view.forum.SearchAction,net.jforum.search.SearchArgs,18
net.jforum.view.forum.SearchAction,net.jforum.search.NewMessagesSearchOperation,5
net.jforum.view.forum.SearchAction,net.jforum.view.forum.common.TopicsCommon,2
net.jforum.ControllerUtils,net.jforum.util.preferences.SystemGlobals,161
net.jforum.ControllerUtils,net.jforum.context.web.WebRequestContext,55
net.jforum.ControllerUtils,net.jforum.JForumExecutionContext,110
net.jforum.ControllerUtils,net.jforum.context.web.WebResponseContext,2
net.jforum.ControllerUtils,net.jforum.context.JForumContext,1
net.jforum.ControllerUtils,net.jforum.SessionFacade,55
net.jforum.ControllerUtils,net.jforum.context.web.WebSessionContext,1
net.jforum.ControllerUtils,net.jforum.repository.SecurityRepository,53
net.jforum.ControllerUtils,net.jforum.util.I18n,53
net.jforum.ControllerUtils,net.jforum.entities.UserSession,56
net.jforum.search.ContentSearchOperation,net.jforum.search.SearchFacade,1
net.jforum.search.ContentSearchOperation,net.jforum.search.SearchArgs,1
net.jforum.search.ContentSearchOperation,net.jforum.search.SearchResult,1
net.jforum.util.CategoryOrderComparator,net.jforum.entities.Category,2
net.jforum.dao.generic.security.GenericGroupSecurityDAO,net.jforum.entities.User,3
net.jforum.dao.generic.security.GenericGroupSecurityDAO,net.jforum.util.preferences.SystemGlobals,1
net.jforum.dao.generic.security.GenericGroupSecurityDAO,net.jforum.dao.generic.security.SecurityCommon,2
net.jforum.dao.generic.security.GenericGroupSecurityDAO,net.jforum.JForumExecutionContext,1
net.jforum.dao.generic.security.GenericGroupSecurityDAO,net.jforum.repository.RolesRepository,4
net.jforum.dao.generic.security.GenericGroupSecurityDAO,net.jforum.entities.Group,3
net.jforum.dao.generic.security.GenericGroupSecurityDAO,net.jforum.security.RoleCollection,1
net.jforum.dao.generic.security.GenericGroupSecurityDAO,net.jforum.util.DbUtils,1
net.jforum.context.web.WebResponseContext,net.jforum.util.preferences.SystemGlobals,12
net.jforum.view.forum.HottestTopicsAction,net.jforum.util.preferences.SystemGlobals,2
net.jforum.view.forum.HottestTopicsAction,net.jforum.repository.TopicRepository,1
net.jforum.view.forum.HottestTopicsAction,net.jforum.JForumExecutionContext,1
net.jforum.view.forum.HottestTopicsAction,net.jforum.repository.ForumRepository,1
net.jforum.view.forum.HottestTopicsAction,net.jforum.entities.Topic,1
net.jforum.view.forum.HottestTopicsAction,net.jforum.util.I18n,1
net.jforum.view.forum.HottestTopicsAction,net.jforum.Command,1
net.jforum.view.forum.HottestTopicsAction,net.jforum.view.forum.common.TopicsCommon,3
net.jforum.repository.RankingRepository,net.jforum.cache.DefaultCacheEngine,2
net.jforum.repository.RankingRepository,net.jforum.entities.Ranking,4
